Reaction ID,Transcript abundance,Subsystem,Stoichiometry,Lower bound,Upper bound,RegrEx (no hexose uptake),FVA_min (no hexose uptake),FVA_max (no hexose uptake),Parsimonious (no hexose uptake),RegrEx (hexose uptake),Parsimonious (hexose uptake)
CPD_676_c_SE_pSE_d,,,CPD_676_c_SE_d --> CPD_676_c_pSE_d,0,50,0,0,0,0,0,0
CPD_676_c_SE_pSE_l,,,CPD_676_c_SE_l --> CPD_676_c_pSE_l,0,50,0,0,0,0,0,0
CPD_7616_c_CC_SE_d,,,CPD_7616_c_CC_d <=> CPD_7616_c_SE_d,-10,10,0,0,0,0,0,0
CPD_7616_c_CC_SE_l,,,CPD_7616_c_CC_l <=> CPD_7616_c_SE_l,-10,10,0,0,0,0,0,0
CPD_7616_c_SE_pSE_d,,,CPD_7616_c_SE_d --> CPD_7616_c_pSE_d,0,50,0,0,0,0,0,0
CPD_7616_c_SE_pSE_l,,,CPD_7616_c_SE_l --> CPD_7616_c_pSE_l,0,50,0,0,0,0,0,0
CPD_9245_pc_CC_d,,,CPD_9245_p_CC_d <=> CPD_9245_c_CC_d,-10,10,0,0,0,0,0,0
CPD_9245_pc_CC_l,,,CPD_9245_p_CC_l <=> CPD_9245_c_CC_l,-10,10,0,0,-6.44E-13,0,0,0
CPD_9245_pc_MC_d,,,CPD_9245_p_MC_d <=> CPD_9245_c_MC_d,-1000,1000,0,0,-4.29E-12,0,0,0
CPD_9245_pc_MC_l,,,CPD_9245_p_MC_l <=> CPD_9245_c_MC_l,-1000,1000,0,0,-2.13E-11,0,0,0
CPD_9245_pc_pSE_d,,,CPD_9245_p_pSE_d <=> CPD_9245_c_pSE_d,-60,60,0,0,0,0,0,0
CPD_9245_pc_pSE_l,,,CPD_9245_p_pSE_l <=> CPD_9245_c_pSE_l,-60,60,0,0,0,0,0,0
CPD_9245_pc_SE_d,,,CPD_9245_p_SE_d <=> CPD_9245_c_SE_d,-50,50,0,0,0,0,0,0
CPD_9245_pc_SE_l,,,CPD_9245_p_SE_l <=> CPD_9245_c_SE_l,-50,50,0,0,0,0,0,0
CPD_9245_xc_CC_d,,,CPD_9245_x_CC_d <=> CPD_9245_c_CC_d,-10,10,0,4.80E-13,0,0,0,0
CPD_9245_xc_CC_l,,,CPD_9245_x_CC_l <=> CPD_9245_c_CC_l,-10,10,0,6.39E-13,0,0,0,0
CPD_9245_xc_MC_d,,,CPD_9245_x_MC_d <=> CPD_9245_c_MC_d,-1000,1000,0,-9.34E-12,0,0,0,0
CPD_9245_xc_MC_l,,,CPD_9245_x_MC_l <=> CPD_9245_c_MC_l,-1000,1000,0,4.55E-11,0,0,0,0
CPD_9245_xc_pSE_d,,,CPD_9245_x_pSE_d <=> CPD_9245_c_pSE_d,-60,60,0,0,0,0,0,0
CPD_9245_xc_pSE_l,,,CPD_9245_x_pSE_l <=> CPD_9245_c_pSE_l,-60,60,0,0,0,0,0,0
CPD_9245_xc_SE_d,,,CPD_9245_x_SE_d <=> CPD_9245_c_SE_d,-50,50,0,0,0,0,0,0
CPD_9245_xc_SE_l,,,CPD_9245_x_SE_l <=> CPD_9245_c_SE_l,-50,50,0,0,0,0,0,0
CTPSYN_RXN_p_CC_d,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_CC_d + GLN_p_CC_d + 0.18 UTP_p_CC_d + WATER_p_CC_d + 0.1 aATP_p_CC_d + 0.82 aUTP_p_CC_d --> 0.8 ADP_p_CC_d + 0.79 CTP_p_CC_d + GLT_p_CC_d + 3.51 PROTON_p_CC_d + Pi_p_CC_d + 0.2 aADP_p_CC_d + 0.21 aCTP_p_CC_d,0,10,0,0,0,0,0,0
CTPSYN_RXN_p_CC_l,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_CC_l + GLN_p_CC_l + 0.18 UTP_p_CC_l + WATER_p_CC_l + 0.1 aATP_p_CC_l + 0.82 aUTP_p_CC_l --> 0.8 ADP_p_CC_l + 0.79 CTP_p_CC_l + GLT_p_CC_l + 3.51 PROTON_p_CC_l + Pi_p_CC_l + 0.2 aADP_p_CC_l + 0.21 aCTP_p_CC_l,0,10,0,0,0,0,0,0
CTPSYN_RXN_p_MC_d,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_MC_d + GLN_p_MC_d + 0.18 UTP_p_MC_d + WATER_p_MC_d + 0.1 aATP_p_MC_d + 0.82 aUTP_p_MC_d --> 0.8 ADP_p_MC_d + 0.79 CTP_p_MC_d + GLT_p_MC_d + 3.51 PROTON_p_MC_d + Pi_p_MC_d + 0.2 aADP_p_MC_d + 0.21 aCTP_p_MC_d,0,1000,0,0,0,0,0,0
CTPSYN_RXN_p_MC_l,0.373725306,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_MC_l + GLN_p_MC_l + 0.18 UTP_p_MC_l + WATER_p_MC_l + 0.1 aATP_p_MC_l + 0.82 aUTP_p_MC_l --> 0.8 ADP_p_MC_l + 0.79 CTP_p_MC_l + GLT_p_MC_l + 3.51 PROTON_p_MC_l + Pi_p_MC_l + 0.2 aADP_p_MC_l + 0.21 aCTP_p_MC_l,0,1000,0,0,0,0,0,0
CTPSYN_RXN_p_pSE_d,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_pSE_d + GLN_p_pSE_d + 0.18 UTP_p_pSE_d + WATER_p_pSE_d + 0.1 aATP_p_pSE_d + 0.82 aUTP_p_pSE_d --> 0.8 ADP_p_pSE_d + 0.79 CTP_p_pSE_d + GLT_p_pSE_d + 3.51 PROTON_p_pSE_d + Pi_p_pSE_d + 0.2 aADP_p_pSE_d + 0.21 aCTP_p_pSE_d,0,60,0,0,0,0,0,0
CTPSYN_RXN_p_pSE_l,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_pSE_l + GLN_p_pSE_l + 0.18 UTP_p_pSE_l + WATER_p_pSE_l + 0.1 aATP_p_pSE_l + 0.82 aUTP_p_pSE_l --> 0.8 ADP_p_pSE_l + 0.79 CTP_p_pSE_l + GLT_p_pSE_l + 3.51 PROTON_p_pSE_l + Pi_p_pSE_l + 0.2 aADP_p_pSE_l + 0.21 aCTP_p_pSE_l,0,60,0,0,0,0,0,0
CTPSYN_RXN_p_SE_d,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_SE_d + GLN_p_SE_d + 0.18 UTP_p_SE_d + WATER_p_SE_d + 0.1 aATP_p_SE_d + 0.82 aUTP_p_SE_d --> 0.8 ADP_p_SE_d + 0.79 CTP_p_SE_d + GLT_p_SE_d + 3.51 PROTON_p_SE_d + Pi_p_SE_d + 0.2 aADP_p_SE_d + 0.21 aCTP_p_SE_d,0,50,0,0,0,0,0,0
CTPSYN_RXN_p_SE_l,,pyrimidineribonucleotidesinterconversion,0.9 ATP_p_SE_l + GLN_p_SE_l + 0.18 UTP_p_SE_l + WATER_p_SE_l + 0.1 aATP_p_SE_l + 0.82 aUTP_p_SE_l --> 0.8 ADP_p_SE_l + 0.79 CTP_p_SE_l + GLT_p_SE_l + 3.51 PROTON_p_SE_l + Pi_p_SE_l + 0.2 aADP_p_SE_l + 0.21 aCTP_p_SE_l,0,50,0,0,0,0,0,0
CYS_c_CC_SE_d,,,CYS_c_CC_d <=> CYS_c_SE_d,-10,10,0,9.02E-13,3.33E-12,0,0,0
CYS_c_CC_SE_l,,,CYS_c_CC_l <=> CYS_c_SE_l,-10,10,0,4.30E-12,0,0,0,0
CYS_c_SE_pSE_d,,,CYS_c_SE_d --> CYS_c_pSE_d,0,50,0,9.02E-13,0,0,0,0
CYS_c_SE_pSE_l,,,CYS_c_SE_l --> CYS_c_pSE_l,0,50,0,4.34E-12,2.42E-12,0,0,0
CYS_ec_CC_d,,,CYS_e_d + PROTON_e_CC --> CYS_c_CC_d + PROTON_c_CC_d,0,10,0,0,-1.57E-12,0,0,0
CYS_ec_CC_l,0.014873958,,CYS_e_l + PROTON_e_CC --> CYS_c_CC_l + PROTON_c_CC_l,0,10,0,0,0,0,0,0
CYS_ec_MC_d,,,CYS_e_d <=> CYS_c_MC_d,-41.4,41.4,0,1.01E-12,0,0,0,0
CYS_ec_MC_l,0.373725306,,CYS_e_l <=> CYS_c_MC_l,-41.4,41.4,0,0,-1.67E-09,0,0,0
CYS_mc_CC_d,,,0.92 CYS_m_CC_d + 0.08 PROTON_m_CC_d + 0.08 bCYS_m_CC_d <=> CYS_c_CC_d,-10,10,0,0,0,0,0,0
CYS_mc_CC_l,,,0.92 CYS_m_CC_l + 0.08 PROTON_m_CC_l + 0.08 bCYS_m_CC_l <=> CYS_c_CC_l,-10,10,0,3.02E-12,0,0,0,0
CYS_mc_MC_d,,,0.92 CYS_m_MC_d + 0.08 PROTON_m_MC_d + 0.08 bCYS_m_MC_d <=> CYS_c_MC_d,-1000,1000,0,6.22E-12,0,0,0,0
CYS_mc_MC_l,,,0.92 CYS_m_MC_l + 0.08 PROTON_m_MC_l + 0.08 bCYS_m_MC_l <=> CYS_c_MC_l,-1000,1000,0,1.09E-11,0,0,0,0
CYS_mc_pSE_d,,,0.92 CYS_m_pSE_d + 0.08 PROTON_m_pSE_d + 0.08 bCYS_m_pSE_d <=> CYS_c_pSE_d,-60,60,0,1.67E-12,0,0,0,0
CYS_mc_pSE_l,,,0.92 CYS_m_pSE_l + 0.08 PROTON_m_pSE_l + 0.08 bCYS_m_pSE_l <=> CYS_c_pSE_l,-60,60,0,1.97E-12,0,0,0,0
CYS_mc_SE_d,,,0.92 CYS_m_SE_d + 0.08 PROTON_m_SE_d + 0.08 bCYS_m_SE_d <=> CYS_c_SE_d,-50,50,0,1.44E-12,0,0,0,0
CYS_mc_SE_l,,,0.92 CYS_m_SE_l + 0.08 PROTON_m_SE_l + 0.08 bCYS_m_SE_l <=> CYS_c_SE_l,-50,50,0,0,0,0,0,0
CYS_PROTON_rev_vc_CC_d,,,CYS_v_CC_d + PROTON_v_CC_d --> CYS_c_CC_d + PROTON_c_CC_d,0,10,0,0,-1.66E-11,0,0,0
CYS_PROTON_rev_vc_CC_l,,,CYS_v_CC_l + PROTON_v_CC_l --> CYS_c_CC_l + PROTON_c_CC_l,0,10,0,0,-3.83E-11,0,0,0
CYS_PROTON_rev_vc_MC_d,,,CYS_v_MC_d + PROTON_v_MC_d --> CYS_c_MC_d + PROTON_c_MC_d,0,1000,0,0,0.339109174,0,0,0
CYS_PROTON_rev_vc_MC_l,,,CYS_v_MC_l + PROTON_v_MC_l --> CYS_c_MC_l + PROTON_c_MC_l,0,1000,0,0,0.602382949,0,0,0
CYS_PROTON_vc_CC_d,,,CYS_c_CC_d + PROTON_v_CC_d --> CYS_v_CC_d + PROTON_c_CC_d,0,10,0,0,-1.64E-11,0,0,0
CYS_PROTON_vc_CC_l,,,CYS_c_CC_l + PROTON_v_CC_l --> CYS_v_CC_l + PROTON_c_CC_l,0,10,0,1.67E-12,-2.24E-11,0,0,0
CYS_PROTON_vc_MC_d,,,CYS_c_MC_d + PROTON_v_MC_d --> CYS_v_MC_d + PROTON_c_MC_d,0,1000,0,0,0.339109174,0,0,0
CYS_PROTON_vc_MC_l,,,CYS_c_MC_l + PROTON_v_MC_l --> CYS_v_MC_l + PROTON_c_MC_l,0,1000,0,2.27E-11,0.602382946,0,0,0
CYS_TRNA_LIGASE_RXN_c_CC_d,,tRNAchargingpathway,0.65 ATP_c_CC_d + CYS_c_CC_d + CYS_tRNAs_c_CC_d + PROTON_c_CC_d + 0.35 aATP_c_CC_d --> AMP_c_CC_d + Charged_CYS_tRNAs_c_CC_d + 0.65 PPI_c_CC_d + 0.35 aPPI_c_CC_d,0,10,0,0,0,0,0,0
CYS_TRNA_LIGASE_RXN_c_CC_l,,tRNAchargingpathway,0.65 ATP_c_CC_l + CYS_c_CC_l + CYS_tRNAs_c_CC_l + PROTON_c_CC_l + 0.35 aATP_c_CC_l --> AMP_c_CC_l + Charged_CYS_tRNAs_c_CC_l + 0.65 PPI_c_CC_l + 0.35 aPPI_c_CC_l,0,10,0,0,0,0,0,0
CYS_TRNA_LIGASE_RXN_c_MC_d,,tRNAchargingpathway,0.65 ATP_c_MC_d + CYS_c_MC_d + CYS_tRNAs_c_MC_d + PROTON_c_MC_d + 0.35 aATP_c_MC_d --> AMP_c_MC_d + Charged_CYS_tRNAs_c_MC_d + 0.65 PPI_c_MC_d + 0.35 aPPI_c_MC_d,0,1000,0,0,0,0,0,0
CYS_TRNA_LIGASE_RXN_c_MC_l,,tRNAchargingpathway,0.65 ATP_c_MC_l + CYS_c_MC_l + CYS_tRNAs_c_MC_l + PROTON_c_MC_l + 0.35 aATP_c_MC_l --> AMP_c_MC_l + Charged_CYS_tRNAs_c_MC_l + 0.65 PPI_c_MC_l + 0.35 aPPI_c_MC_l,0,1000,0,0,0,0,0,0
CYS_TRNA_LIGASE_RXN_c_pSE_d,,tRNAchargingpathway,0.65 ATP_c_pSE_d + CYS_c_pSE_d + CYS_tRNAs_c_pSE_d + PROTON_c_pSE_d + 0.35 aATP_c_pSE_d --> AMP_c_pSE_d + Charged_CYS_tRNAs_c_pSE_d + 0.65 PPI_c_pSE_d + 0.35 aPPI_c_pSE_d,0,60,0,0,-2.73E-11,0,0,0
CYS_TRNA_LIGASE_RXN_c_pSE_l,,tRNAchargingpathway,0.65 ATP_c_pSE_l + CYS_c_pSE_l + CYS_tRNAs_c_pSE_l + PROTON_c_pSE_l + 0.35 aATP_c_pSE_l --> AMP_c_pSE_l + Charged_CYS_tRNAs_c_pSE_l + 0.65 PPI_c_pSE_l + 0.35 aPPI_c_pSE_l,0,60,0,0,-3.87E-11,0,0,0
CYS_TRNA_LIGASE_RXN_c_SE_d,,tRNAchargingpathway,0.65 ATP_c_SE_d + CYS_c_SE_d + CYS_tRNAs_c_SE_d + PROTON_c_SE_d + 0.35 aATP_c_SE_d --> AMP_c_SE_d + Charged_CYS_tRNAs_c_SE_d + 0.65 PPI_c_SE_d + 0.35 aPPI_c_SE_d,0,50,0,0,0,0,0,0
CYS_TRNA_LIGASE_RXN_c_SE_l,,tRNAchargingpathway,0.65 ATP_c_SE_l + CYS_c_SE_l + CYS_tRNAs_c_SE_l + PROTON_c_SE_l + 0.35 aATP_c_SE_l --> AMP_c_SE_l + Charged_CYS_tRNAs_c_SE_l + 0.65 PPI_c_SE_l + 0.35 aPPI_c_SE_l,0,50,0,0,0,0,0,0
CYS_tRNAs_c_CC_SE_d,,,CYS_tRNAs_c_CC_d <=> CYS_tRNAs_c_SE_d,-10,10,0,0,0,0,0,0
CYS_tRNAs_c_CC_SE_l,,,CYS_tRNAs_c_CC_l <=> CYS_tRNAs_c_SE_l,-10,10,0,0,0,0,0,0
CYS_tRNAs_c_SE_pSE_d,,,CYS_tRNAs_c_SE_d --> CYS_tRNAs_c_pSE_d,0,50,0,0,-6.29E-11,0,0,0
CYS_tRNAs_c_SE_pSE_l,,,CYS_tRNAs_c_SE_l --> CYS_tRNAs_c_pSE_l,0,50,0,0,4.12E-10,0,0,0
CYS_v_dielTransfer_CC,,dieltransfer,CYS_v_CC_l --> CYS_v_CC_d,0,1000,0,0,-7.11E-12,0,0,0
CYS_v_dielTransfer_MC,,dieltransfer,CYS_v_MC_l --> CYS_v_MC_d,0,1000,0,0,-4.42E-11,0,0,0
CYS_v_dielTransfer_pSE,,dieltransfer,CYS_v_pSE_l --> CYS_v_pSE_d,0,1000,0,0,0,0,0,0
CYS_v_dielTransfer_SE,,dieltransfer,CYS_v_SE_l --> CYS_v_SE_d,0,1000,0,0,0,0,0,0
CYSPH_RXN_p_CC_d,,methioninebiosynthesisII,CYS_p_CC_d + O_PHOSPHO_L_HOMOSERINE_p_CC_d --> L_CYSTATHIONINE_p_CC_d + Pi_p_CC_d,0,10,0,0,-6.30E-12,0,0,0
CYSPH_RXN_p_CC_l,0.018058462,methioninebiosynthesisII,CYS_p_CC_l + O_PHOSPHO_L_HOMOSERINE_p_CC_l --> L_CYSTATHIONINE_p_CC_l + Pi_p_CC_l,0,10,0,1.33E-11,-3.88E-12,0,0,0
CYSPH_RXN_p_MC_d,,methioninebiosynthesisII,CYS_p_MC_d + O_PHOSPHO_L_HOMOSERINE_p_MC_d --> L_CYSTATHIONINE_p_MC_d + Pi_p_MC_d,0,1000,0,0,2.50E-12,0,0,0
CYSPH_RXN_p_pSE_d,,methioninebiosynthesisII,CYS_p_pSE_d + O_PHOSPHO_L_HOMOSERINE_p_pSE_d --> L_CYSTATHIONINE_p_pSE_d + Pi_p_pSE_d,0,60,0,0,-3.24E-12,0,0,0
CYSPH_RXN_p_pSE_l,0.018058462,methioninebiosynthesisII,CYS_p_pSE_l + O_PHOSPHO_L_HOMOSERINE_p_pSE_l --> L_CYSTATHIONINE_p_pSE_l + Pi_p_pSE_l,0,60,0,0,-1.22E-11,0,0,0
CYSPH_RXN_p_SE_d,,methioninebiosynthesisII,CYS_p_SE_d + O_PHOSPHO_L_HOMOSERINE_p_SE_d --> L_CYSTATHIONINE_p_SE_d + Pi_p_SE_d,0,50,0,0,-2.86E-11,0,0,0
CYSPH_RXN_p_SE_l,0.018058462,methioninebiosynthesisII,CYS_p_SE_l + O_PHOSPHO_L_HOMOSERINE_p_SE_l --> L_CYSTATHIONINE_p_SE_l + Pi_p_SE_l,0,50,0,0,-4.44E-12,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_CC_d,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_CC_d + WATER_p_CC_d --> AMMONIUM_p_CC_d + HOMO_CYS_p_CC_d + PYRUVATE_p_CC_d,0,10,0,0,0,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_CC_l,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_CC_l + WATER_p_CC_l --> AMMONIUM_p_CC_l + HOMO_CYS_p_CC_l + PYRUVATE_p_CC_l,0,10,0,3.32E-12,-9.18E-12,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_MC_d,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_MC_d + WATER_p_MC_d --> AMMONIUM_p_MC_d + HOMO_CYS_p_MC_d + PYRUVATE_p_MC_d,0,1000,0,0,8.41E-12,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_pSE_d,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_pSE_d + WATER_p_pSE_d --> AMMONIUM_p_pSE_d + HOMO_CYS_p_pSE_d + PYRUVATE_p_pSE_d,0,60,0,0,-2.47E-12,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_pSE_l,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_pSE_l + WATER_p_pSE_l --> AMMONIUM_p_pSE_l + HOMO_CYS_p_pSE_l + PYRUVATE_p_pSE_l,0,60,0,3.07E-11,-3.56E-12,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_SE_d,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_SE_d + WATER_p_SE_d --> AMMONIUM_p_SE_d + HOMO_CYS_p_SE_d + PYRUVATE_p_SE_d,0,50,0,0,1.34E-11,0,0,0
CYSTATHIONINE_BETA_LYASE_RXN_p_SE_l,,"methioninebiosynthesisI, methioninebiosynthesisII, homocysteineandcysteineinterconversion",L_CYSTATHIONINE_p_SE_l + WATER_p_SE_l --> AMMONIUM_p_SE_l + HOMO_CYS_p_SE_l + PYRUVATE_p_SE_l,0,50,0,1.90E-11,-5.36E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_CC_d,,,2_KETOGLUTARATE_m_CC_d + 0.92 CYS_m_CC_d + 0.08 PROTON_m_CC_d + 0.08 bCYS_m_CC_d <=> 3_MERCAPTO_PYRUVATE_m_CC_d + GLT_m_CC_d,-10,10,0,0,-1.38E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_CC_l,,,2_KETOGLUTARATE_m_CC_l + 0.92 CYS_m_CC_l + 0.08 PROTON_m_CC_l + 0.08 bCYS_m_CC_l <=> 3_MERCAPTO_PYRUVATE_m_CC_l + GLT_m_CC_l,-10,10,0,0,1.01E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_MC_d,,,2_KETOGLUTARATE_m_MC_d + 0.92 CYS_m_MC_d + 0.08 PROTON_m_MC_d + 0.08 bCYS_m_MC_d <=> 3_MERCAPTO_PYRUVATE_m_MC_d + GLT_m_MC_d,-1000,1000,0,0,3.73E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_MC_l,,,2_KETOGLUTARATE_m_MC_l + 0.92 CYS_m_MC_l + 0.08 PROTON_m_MC_l + 0.08 bCYS_m_MC_l <=> 3_MERCAPTO_PYRUVATE_m_MC_l + GLT_m_MC_l,-1000,1000,0,1.77E-11,-1.35E-10,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_pSE_d,,,2_KETOGLUTARATE_m_pSE_d + 0.92 CYS_m_pSE_d + 0.08 PROTON_m_pSE_d + 0.08 bCYS_m_pSE_d <=> 3_MERCAPTO_PYRUVATE_m_pSE_d + GLT_m_pSE_d,-60,60,0,0,-1.29E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_pSE_l,,,2_KETOGLUTARATE_m_pSE_l + 0.92 CYS_m_pSE_l + 0.08 PROTON_m_pSE_l + 0.08 bCYS_m_pSE_l <=> 3_MERCAPTO_PYRUVATE_m_pSE_l + GLT_m_pSE_l,-60,60,0,0,-1.51E-12,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_SE_d,,,2_KETOGLUTARATE_m_SE_d + 0.92 CYS_m_SE_d + 0.08 PROTON_m_SE_d + 0.08 bCYS_m_SE_d <=> 3_MERCAPTO_PYRUVATE_m_SE_d + GLT_m_SE_d,-50,50,0,0,0,0,0,0
CYSTEINE_AMINOTRANSFERASE_RXN_m_SE_l,,,2_KETOGLUTARATE_m_SE_l + 0.92 CYS_m_SE_l + 0.08 PROTON_m_SE_l + 0.08 bCYS_m_SE_l <=> 3_MERCAPTO_PYRUVATE_m_SE_l + GLT_m_SE_l,-50,50,0,0,-1.67E-12,0,0,0
CYTOCHROME_C_OXIDASE_RXN_mc_CC_d,,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mc_CC_d + OXYGEN_MOLECULE_m_CC_d + 8.0 PROTON_m_CC_d --> 4.0 Cytochromes_C_Oxidized_mc_CC_d + 4.0 PROTON_c_CC_d + 2.0 WATER_m_CC_d,0,10,0,0,-4.60E-12,0,0,0
CYTOCHROME_C_OXIDASE_RXN_mc_MC_l,0.431877252,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mc_MC_l + OXYGEN_MOLECULE_m_MC_l + 8.0 PROTON_m_MC_l --> 4.0 Cytochromes_C_Oxidized_mc_MC_l + 4.0 PROTON_c_MC_l + 2.0 WATER_m_MC_l,0,1000,0,0,-4.62E-12,0,0,0
CYTOCHROME_C_OXIDASE_RXN_mc_pSE_d,,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mc_pSE_d + OXYGEN_MOLECULE_m_pSE_d + 8.0 PROTON_m_pSE_d --> 4.0 Cytochromes_C_Oxidized_mc_pSE_d + 4.0 PROTON_c_pSE_d + 2.0 WATER_m_pSE_d,0,60,0,0,-4.61E-12,0,0,0
CYTOCHROME_C_OXIDASE_RXN_mc_SE_d,,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mc_SE_d + OXYGEN_MOLECULE_m_SE_d + 8.0 PROTON_m_SE_d --> 4.0 Cytochromes_C_Oxidized_mc_SE_d + 4.0 PROTON_c_SE_d + 2.0 WATER_m_SE_d,0,50,0,0,-4.65E-12,0,0,0
D_6_P_GLUCONO_DELTA_LACTONE_c_CC_SE_d,,,D_6_P_GLUCONO_DELTA_LACTONE_c_CC_d <=> D_6_P_GLUCONO_DELTA_LACTONE_c_SE_d,-10,10,0,-0.153200212,0.153200213,0,0,0
D_6_P_GLUCONO_DELTA_LACTONE_c_CC_SE_l,,,D_6_P_GLUCONO_DELTA_LACTONE_c_CC_l <=> D_6_P_GLUCONO_DELTA_LACTONE_c_SE_l,-10,10,0,4.30E-11,-3.91E-11,0,0,0
D_6_P_GLUCONO_DELTA_LACTONE_c_SE_pSE_d,,,D_6_P_GLUCONO_DELTA_LACTONE_c_SE_d --> D_6_P_GLUCONO_DELTA_LACTONE_c_pSE_d,0,50,0,0,-2.82E-11,0,0,0
D_6_P_GLUCONO_DELTA_LACTONE_c_SE_pSE_l,,,D_6_P_GLUCONO_DELTA_LACTONE_c_SE_l --> D_6_P_GLUCONO_DELTA_LACTONE_c_pSE_l,0,50,0,0,0,0,0,0
DADPKIN_RXN_p_CC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_CC_d + 0.79 DADP_p_CC_d + 0.1 PROTON_p_CC_d + 0.1 aATP_p_CC_d + 0.21 aDADP_p_CC_d --> 0.8 ADP_p_CC_d + 0.79 DATP_p_CC_d + 0.2 aADP_p_CC_d + 0.21 aDATP_p_CC_d,0,10,0,0,0,0,0,0
DADPKIN_RXN_p_CC_l,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_CC_l + 0.79 DADP_p_CC_l + 0.1 PROTON_p_CC_l + 0.1 aATP_p_CC_l + 0.21 aDADP_p_CC_l --> 0.8 ADP_p_CC_l + 0.79 DATP_p_CC_l + 0.2 aADP_p_CC_l + 0.21 aDATP_p_CC_l,0,10,0,0,0,0,0,0
DADPKIN_RXN_p_MC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_MC_d + 0.79 DADP_p_MC_d + 0.1 PROTON_p_MC_d + 0.1 aATP_p_MC_d + 0.21 aDADP_p_MC_d --> 0.8 ADP_p_MC_d + 0.79 DATP_p_MC_d + 0.2 aADP_p_MC_d + 0.21 aDATP_p_MC_d,0,1000,0,0,0,0,0,0
DADPKIN_RXN_p_MC_l,0.373725306,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_MC_l + 0.79 DADP_p_MC_l + 0.1 PROTON_p_MC_l + 0.1 aATP_p_MC_l + 0.21 aDADP_p_MC_l --> 0.8 ADP_p_MC_l + 0.79 DATP_p_MC_l + 0.2 aADP_p_MC_l + 0.21 aDATP_p_MC_l,0,1000,0,0,0,0,0,0
DADPKIN_RXN_p_pSE_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_pSE_d + 0.79 DADP_p_pSE_d + 0.1 PROTON_p_pSE_d + 0.1 aATP_p_pSE_d + 0.21 aDADP_p_pSE_d --> 0.8 ADP_p_pSE_d + 0.79 DATP_p_pSE_d + 0.2 aADP_p_pSE_d + 0.21 aDATP_p_pSE_d,0,60,0,0,0,0,0,0
DADPKIN_RXN_p_pSE_l,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,0.9 ATP_p_pSE_l + 0.79 DADP_p_pSE_l + 0.1 PROTON_p_pSE_l + 0.1 aATP_p_pSE_l + 0.21 aDADP_p_pSE_l --> 0.8 ADP_p_pSE_l + 0.79 DATP_p_pSE_l + 0.2 aADP_p_pSE_l + 0.21 aDATP_p_pSE_l,0,60,0,0,0,0,0,0
